ev_id,ev_type,ev_year,ev_time,ev_highest_injury,ev_nr_apt_loc,latitude,longitude,mid_air,on_ground_collision,light_cond,wx_cond_basic,sky_cond_ceil,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,wx_int_precip,altimeter
20230621192418,ACC,2023.0,2010,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,88.0,64.0,60.0,7.0,14.0,UNKNOWN,0.0
20230621192419,ACC,2023.0,1655,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,600.0,416.0,57.0,55.0,170.0,7.0,0.0,UNKNOWN,0.0
20230622192420,ACC,2023.0,1845,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,2600.0,416.0,91.0,68.0,180.0,10.0,18.0,UNKNOWN,0.0
20230622192422,ACC,2023.0,2300,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,66.0,25.0,0.0,5.0,0.0,UNKNOWN,0.0
20230623192423,ACC,2023.0,945,NONE,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230623192424,ACC,2023.0,1815,UNKNOWN,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,UNKNOWN,NONE,0.0,416.0,72.0,48.0,70.0,6.0,0.0,UNKNOWN,0.0
,UNKNOWN,2016.0,0,UNKNOWN,"39,79",2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,63.0,39.0,90.0,7.0,0.0,UNKNOWN,0.0
20230623192425,ACC,2023.0,1930,SERS,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,84.0,55.0,100.0,9.0,0.0,UNKNOWN,0.0
20230623192426,ACC,2023.0,1715,SERS,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,OVC,2300.0,416.0,64.0,54.0,100.0,2.0,0.0,UNKNOWN,0.0
20230623192429,INC,2023.0,1559,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,73.0,66.0,0.0,3.0,0.0,UNKNOWN,0.0
20230623192431,ACC,2023.0,1244,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,72.0,57.0,220.0,3.0,0.0,UNKNOWN,0.0
20230623192432,INC,2023.0,953,UNKNOWN,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230623192434,ACC,2023.0,2256,NONE,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230623192435,ACC,2023.0,1740,SERS,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230623192436,INC,2023.0,2000,UNKNOWN,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230624192437,ACC,2023.0,00:00,NONE,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230625192440,ACC,2023.0,2020,FATL,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,8500.0,416.0,90.0,72.0,200.0,7.0,0.0,UNKNOWN,0.0
20230626192441,ACC,2023.0,1632,FATL,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,90.0,64.0,310.0,4.0,0.0,UNKNOWN,0.0
20230626192442,ACC,2023.0,1305,FATL,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,75.0,73.0,300.0,4.0,0.0,UNKNOWN,0.0
20230626192444,ACC,2023.0,2300,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,66.0,27.0,220.0,15.0,26.0,UNKNOWN,0.0
20230626192445,ACC,2023.0,1350,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,OVC,800.0,416.0,64.0,61.0,0.0,7.0,0.0,UNKNOWN,0.0
20230626192446,ACC,2023.0,1230,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230626192447,ACC,2023.0,213,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,34.0,4.0,290.0,5.0,0.0,UNKNOWN,0.0
20230626192448,ACC,2023.0,1600,MINR,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,55.0,48.0,0.0,7.0,0.0,UNKNOWN,0.0
20230626192449,ACC,2023.0,1730,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,77.0,18.0,200.0,4.0,0.0,UNKNOWN,0.0
20230626192451,ACC,2023.0,1958,MINR,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,95.0,75.0,180.0,4.0,11.0,UNKNOWN,0.0
20230626192452,ACC,2023.0,1510,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,82.0,66.0,210.0,4.0,0.0,UNKNOWN,0.0
20230626192453,ACC,2023.0,1500,UNKNOWN,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,UNKNOWN,NONE,0.0,416.0,77.0,66.0,0.0,7.0,0.0,UNKNOWN,0.0
,0,2016.0,0,UNKNOWN,"36,57",2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,63.0,39.0,90.0,7.0,0.0,UNKNOWN,0.0
20230626192454,ACC,2023.0,1234,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,75.0,73.0,340.0,5.0,0.0,UNKNOWN,0.0
20230626192455,ACC,2023.0,1417,SERS,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,54.0,30.0,0.0,7.0,0.0,UNKNOWN,0.0
20230626192456,ACC,2023.0,1630,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,82.0,59.0,20.0,12.0,0.0,UNKNOWN,0.0
20230626192459,ACC,2023.0,1910,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,93.0,77.0,210.0,6.0,0.0,UNKNOWN,0.0
20230626192460,ACC,2023.0,1430,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,1300.0,416.0,72.0,68.0,0.0,7.0,0.0,UNKNOWN,0.0
20230627192463,ACC,2023.0,45,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,79.0,39.0,240.0,10.0,0.0,UNKNOWN,0.0
20230627192465,ACC,2023.0,1512,NONE,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230627192466,ACC,2023.0,1200,UNKNOWN,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,63.0,39.0,0.0,7.0,0.0,UNKNOWN,0.0
20230627192467,INC,2023.0,1845,NONE,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
