ev_id,Aircraft_Key,crew_no,crew_category,crew_age,med_certf,med_crtf_vldty,date_lst_med,crew_rat_endorse,crew_tox_perf,pc_profession,bfr,bfr_date,ft_as_of,pilot_flying
20080219X00204,1,1,PLT,25.0,CL3,4.0,2004/4/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/12/1 00:00:00,0.0,
20080219X00205,1,1,PLT,49.0,CL3,4.0,2007/10/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2008-01-01,0.0,
20080219X00209,1,1,PLT,75.0,CL3,4.0,2006/10/31 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080219X00210,1,1,PLT,70.0,CL2,4.0,2006/5/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2006/4/1 00:00:00,0.0,
20080219X00210,1,2,UNKNOWN,25.0,CL3,4.0,2005/5/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/7/1 00:00:00,0.0,
20080220X00211,1,1,FLTI,33.0,CL1,4.0,2007/3/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008-01-01,0.0,
20080220X00211,1,2,DSTU,25.0,CL1,4.0,2007/11/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080220X00212,1,1,PLT,61.0,CL3,4.0,2006/1/1 00:00:00,UNKNOWN,N,UNK,UNKNOWN,2007/10/1 00:00:00,0.0,
20080220X00213,1,1,PLT,54.0,CL3,4.0,2006/8/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080220X00214,1,1,PLT,34.0,CL1,4.0,2007/12/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008/1/1 00:00:00,0.0,
20080220X00214,1,2,CPLT,25.0,CL1,4.0,2008/1/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/9/1 00:00:00,0.0,
20080220X00215,1,1,PLT,27.0,CL2,4.0,2007/10/1 00:00:00,UNKNOWN,Y,YES,UNKNOWN,2007/9/1 00:00:00,0.0,
20080220X00216,1,1,PLT,49.0,CL3,4.0,2007/5/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2008/1/1 00:00:00,0.0,
20080220X00218,1,1,PLT,37.0,CL3,4.0,2006/8/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080220X00219,1,1,PLT,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080220X00220,1,1,PLT,26.0,CL2,4.0,2007/4/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008/1/1 00:00:00,0.0,
